EVALUATION STARTED:       Wed Apr 14 2021 10:06:39 GMT+0000 (Coordinated Universal Time)
EVALUATING CHALLENGE:     2021/w14
FOUND 40 SOLUTIONS:       aman1.js, aman2.js, bram1.js, bram2.js, dexter1.js, dexter2.js, dexter3.js, dexter4.js, irene1.js, irene2.js, irene3.js,
                          irene4.js, irene5.js, jmulders1.js, jmulders2.js, jmulders3.js, jmulders4.js, jmulders5.js, jmulders6.js, joppe1.js,
                          joppe2.js, joppe3.js, joppe4.js, lars1.js, lars2.js, lars3.js, lars4.js, lars5.js, lars6.js, mettin1.js, mettin2.js,
                          tim1.js, tim2.js, tim3.js, tim4.js, tim5.js, tim6.js, tim7.js, tim8.js, tim9.js
EVALUATING EACH           120000 TIMES WITH 1000 TEST CASES...

Running perf checks 100%... done!

EVALUATION ENDED:         Wed Apr 14 2021 11:32:57 GMT+0000 (Coordinated Universal Time)
DURATION:                 1 hour, 26 minutes, 17.443 seconds

RANKINGS:
╔═══════╤════════╤═══════════╤════════════════╤═════════╤═════════════════╤══════════════╗
║ Place │ Points │ Name      │ Best           │ Average │ σ (st dev)      │ Size (bytes) ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 1     │ 25     │ irene5    │ 0.083ms (1.9σ) │ 0.128ms │ 0.024ms (19.0%) │ 416          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║       │ 25     │ joppe4    │ 0.084ms (1.7σ) │ 0.125ms │ 0.025ms (19.8%) │ 480          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║       │ 25     │ aman2     │ 0.087ms (1.7σ) │ 0.133ms │ 0.027ms (20.0%) │ 312          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 4     │ 12     │ lars4     │ 0.093ms (1.7σ) │ 0.141ms │ 0.027ms (19.4%) │ 635          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║       │ 12     │ tim9      │ 0.095ms (1.6σ) │ 0.140ms │ 0.027ms (19.6%) │ 717          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 6     │ 8      │ jmulders6 │ 0.106ms (1.4σ) │ 0.144ms │ 0.027ms (18.8%) │ 391          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 7     │ 6      │ bram1     │ 0.117ms (1.6σ) │ 0.165ms │ 0.030ms (18.0%) │ 590          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 8     │ 4      │ mettin1   │ 0.126ms (1.4σ) │ 0.171ms │ 0.031ms (18.3%) │ 463          ║
╟───────┼────────┼───────────┼────────────────┼─────────┼─────────────────┼──────────────╢
║ 9     │ 2      │ dexter4   │ 0.159ms (1.8σ) │ 0.212ms │ 0.030ms (14.0%) │ 392          ║
╚═══════╧════════╧═══════════╧════════════════╧═════════╧═════════════════╧══════════════╝

Keeping only best run from each contestant
Using 5% margin for determening ties

OMITTED FROM RANKINGS:    joppe3.js, joppe2.js, lars3.js, aman1.js, tim6.js, irene3.js, irene1.js, jmulders1.js, joppe1.js, irene2.js, lars1.js,
                          irene4.js, tim4.js, dexter3.js, tim5.js, lars2.js, lars5.js, dexter2.js, tim2.js, jmulders5.js, jmulders2.js,
                          jmulders4.js, jmulders3.js, tim7.js, lars6.js, tim8.js, tim1.js, tim3.js, mettin2.js, dexter1.js, bram2.js

CODEGOLF AWARD:           lars6.js, tim8.js with 81 bytes

SYSTEM INFO:
NODE: v14.16.0
ARCH: x64
PLATFORM: linux
VERSION: #56-Ubuntu SMP Mon Oct 5 14:28:49 UTC 2020
MEMORY: 15.64GB
CPUS: 2 x Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz
CPU speed: 2494MHz

RAW RESULTS:
┌─────────┬────────────────┬────────┬────────────────────┬─────────────────────┬─────────────────────┬────────────────────┬──────────────────────┬──────┬────────┐
│ (index) │    solution    │ failed │       total        │       average       │        best         │       worst        │        stdev         │ size │  runs  │
├─────────┼────────────────┼────────┼────────────────────┼─────────────────────┼─────────────────────┼────────────────────┼──────────────────────┼──────┼────────┤
│    0    │  'irene5.js'   │ false  │ 15408.900702867453 │ 0.12840750585722877 │ 0.08310600044205785 │ 5.428020000021206  │ 0.02440056133355562  │ 416  │ 120000 │
│    1    │  'joppe4.js'   │ false  │ 14952.93562906736  │ 0.12460779690889467 │ 0.08373699989169836 │ 2.097259000001941  │ 0.02464638029377811  │ 480  │ 120000 │
│    2    │   'aman2.js'   │ false  │ 15940.44219005169  │ 0.13283701825043076 │ 0.08667699992656708 │ 3.102327000000514  │  0.0265573985981837  │ 312  │ 120000 │
│    3    │  'joppe3.js'   │ false  │ 15718.180515068787 │ 0.13098483762557322 │ 0.0894980002194643  │ 1.8189499999862164 │ 0.025430137635935393 │ 552  │ 120000 │
│    4    │   'lars4.js'   │ false  │ 16905.84730694833  │ 0.1408820608912361  │ 0.09314899996388704 │ 4.083738999994239  │ 0.027345079493990267 │ 635  │ 120000 │
│    5    │   'tim9.js'    │ false  │ 16792.527266969468 │ 0.13993772722474557 │ 0.09530800022184849 │ 2.9794140000012703 │ 0.027459567485517977 │ 717  │ 120000 │
│    6    │  'joppe2.js'   │ false  │ 16438.430243891606 │ 0.1369869186990967  │ 0.09850199986249208 │ 2.196351999999024  │ 0.025475592125508102 │ 520  │ 120000 │
│    7    │   'lars3.js'   │ false  │ 16931.304078077577 │ 0.14109420065064648 │ 0.09902000008150935 │ 2.7254980000143405 │ 0.026764562669536824 │ 440  │ 120000 │
│    8    │   'aman1.js'   │ false  │ 17990.511927991494 │ 0.14992093273326246 │ 0.10024799965322018 │ 10.444434999953955 │  0.0610853973689374  │ 315  │ 120000 │
│    9    │   'tim6.js'    │ false  │ 16849.383718992613 │ 0.1404115309916051  │ 0.10092799999983981 │ 2.4873509999888483 │ 0.02546196544524307  │ 458  │ 120000 │
│   10    │ 'jmulders6.js' │ false  │ 17318.59469905446  │ 0.14432162249212052 │ 0.10581800004001707 │ 1.3854119998868555 │ 0.027064070453117563 │ 391  │ 120000 │
│   11    │  'irene3.js'   │ false  │ 18188.64306189574  │ 0.15157202551579782 │ 0.11025599995627999 │ 2.7547730000223964 │ 0.028380077577550306 │ 342  │ 120000 │
│   12    │  'irene1.js'   │ false  │ 18468.821711929544 │ 0.15390684759941287 │ 0.11200099997222424 │ 9.726649000309408  │ 0.03899744704169356  │ 746  │ 120000 │
│   13    │ 'jmulders1.js' │ false  │ 18642.608518022083 │ 0.15535507098351736 │ 0.11393400002270937 │ 1.9011760000139475 │ 0.026889509839008216 │ 712  │ 120000 │
│   14    │  'joppe1.js'   │ false  │ 19068.92208393733  │ 0.15890768403281108 │ 0.11586600029841065 │ 1.4112379997968674 │ 0.026707929297728385 │ 522  │ 120000 │
│   15    │   'bram1.js'   │ false  │ 19761.545932061883 │ 0.16467954943384902 │ 0.11723500001244247 │ 3.274980999995023  │ 0.029624142058810653 │ 590  │ 120000 │
│   16    │  'mettin1.js'  │ false  │ 20483.81011207751  │ 0.1706984176006459  │ 0.12574900034815073 │ 5.416087999998126  │ 0.03129775933881926  │ 463  │ 120000 │
│   17    │  'irene2.js'   │ false  │ 24570.033493004215 │ 0.20475027910836846 │ 0.14692500000819564 │ 11.334098000079393 │  0.0845414320094221  │ 162  │ 120000 │
│   18    │  'dexter4.js'  │ false  │ 25406.971450944548 │ 0.21172476209120455 │ 0.15871499991044402 │ 1.5606830000178888 │ 0.02965210452599691  │ 392  │ 120000 │
│   19    │   'lars1.js'   │ false  │ 24950.02064902085  │ 0.20791683874184042 │ 0.16391099989414215 │ 1.484712999779731  │  0.0287001009679742  │ 371  │ 120000 │
│   20    │  'irene4.js'   │ false  │ 27052.843044008478 │ 0.22544035870007065 │ 0.16622699983417988 │  5.27563799964264  │  0.071905074408819   │ 146  │ 120000 │
│   21    │   'tim4.js'    │ false  │ 35157.05548301112  │ 0.29297546235842603 │ 0.2279519997537136  │ 7.068498999986332  │  0.0376178878230305  │  92  │ 120000 │
