
EVALUATION STARTED:                 01/12/2021, 12:06:45
EVALUATING CHALLENGE:               2021/w47
FOUND 49 SOLUTIONS:                 aman1.js, aman2.js, anuradha1.js, anuradha2.js, anuradha3.js, anuradha4.js, bram1.js, bram2.js, bram3.js, bram4.js,
                          bram5.js, devin1.js, hossein1.js, hossein2.js, hossein3.js, hossein4.js, hossein5.js, hossein6.js, hossein7.js, lars1.js,
                          lars2.js, lars3.js, lars4.js, lars5.js, lars6.js, lars7.js, lars8.js, lee1.js, luc1.js, luc10.js, luc11.js, luc2.js,
                          luc3.js, luc4.js, luc5.js, luc6.js, luc7.js, luc8.js, luc9.js, patrick1.js, patrick2.js, tim1.js, tim2.js, tim3.js,
                          tim4.js, tim5.js, varun1.js, varun2.js, varun3.js
RUNNING EVALUATION FOR:             5400 SECONDS WITH 10000 TEST CASES IN EACH CYCLE...



EVALUATION ENDED:                   01/12/2021, 13:36:47
DURATION:                           1 hour, 30 minutes, 1.207 seconds

RANKINGS:
╔═══════╤════════╤═══════════╤═════════╤══════════╤══════════════╤══════╗
║ Place │ Points │ Name      │ Total   │ Best run │ Best compile │ Size ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 1     │ 25     │ aman2     │ 0.568ms │ 0.555ms  │ 0.013ms      │ 358  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 2     │ 18     │ hossein7  │ 0.599ms │ 0.585ms  │ 0.014ms      │ 422  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 18     │ varun1    │ 0.622ms │ 0.610ms  │ 0.012ms      │ 511  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 4     │ 12     │ lars8     │ 0.638ms │ 0.622ms  │ 0.016ms      │ 165  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 5     │ 10     │ bram1     │ 0.742ms │ 0.730ms  │ 0.012ms      │ 151  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 10     │ tim4      │ 0.756ms │ 0.741ms  │ 0.015ms      │ 310  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 7     │ 6      │ patrick1  │ 0.854ms │ 0.843ms  │ 0.012ms      │ 192  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 6      │ anuradha1 │ 0.895ms │ 0.884ms  │ 0.012ms      │ 136  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 9     │ 2      │ lee1      │ 1.148ms │ 1.137ms  │ 0.012ms      │ 69   ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 10    │ 1      │ devin1    │ 1.379ms │ 1.366ms  │ 0.013ms      │ 133  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 11    │        │ luc8      │ 4.790ms │ 4.778ms  │ 0.011ms      │ 46   ║
╚═══════╧════════╧═══════════╧═════════╧══════════╧══════════════╧══════╝

Keeping only best run from each contestant
Using 5% margin for determening ties

OMITTED FROM RANKINGS:              aman1.js, varun2.js, varun3.js, bram4.js, bram3.js, lars5.js, bram2.js, hossein6.js, bram5.js, tim5.js, hossein2.js,
                          lars2.js, lars4.js, anuradha4.js, anuradha3.js, tim3.js, lars3.js, hossein1.js, lars1.js, luc3.js, luc5.js, luc4.js,
                          luc2.js, luc1.js, patrick2.js, luc10.js, luc11.js, tim1.js, hossein5.js, luc9.js, tim2.js, lars7.js, anuradha2.js,
                          hossein4.js, hossein3.js, lars6.js

CODEGOLF AWARD:                     anuradha2.js, hossein5.js, lars7.js, luc9.js, tim2.js with 44 bytes

FAILED SOLUTIONS:                   luc6.js, luc7.js

SYSTEM INFO:
NODE: v14.16.0
ARCH: x64
PLATFORM: linux
VERSION: #56-Ubuntu SMP Mon Oct 5 14:28:49 UTC 2020
MEMORY: 15.64GB
CPUS: 2 x Intel Xeon Processor (Cascadelake)
CPU speed: 2494MHz

RAW RESULTS:
┌─────────┬────────────────┬────────────────────┬────────────────────┬──────────────────────┬────────┬──────────────────────────────────────────┬───────────────────────┬──────────────┬────────┬───────────────────────┬───────┐
│ (index) │    solution    │       total        │      bestRun       │     bestCompile      │  size  │                 compiled                 │    validationTime     │ onlyCodegolf │ failed │      failReason       │ runs  │
├─────────┼────────────────┼────────────────────┼────────────────────┼──────────────────────┼────────┼──────────────────────────────────────────┼───────────────────────┼──────────────┼────────┼───────────────────────┼───────┤
│    0    │   'aman2.js'   │ 0.5678139998235565 │ 0.5547499999993306 │ 0.013063999824225903 │  358   │              'successfully'              │  18.809728000000177   │    false     │ false  │         null          │ 27300 │
│    1    │ 'hossein7.js'  │ 0.5988779998842801 │ 0.5852249999988999 │ 0.013652999885380268 │  422   │              'successfully'              │   7.746956000002683   │    false     │ false  │         null          │ 27300 │
│    2    │   'aman1.js'   │ 0.6038409998873249 │ 0.5907379999989644 │  0.0131029998883605  │  332   │              'successfully'              │  21.974228999999468   │    false     │ false  │         null          │ 27300 │
│    3    │  'varun1.js'   │ 0.6223519998748088 │ 0.6098630000051344 │ 0.012488999869674444 │  511   │              'successfully'              │   29.58405800000037   │    false     │ false  │         null          │ 27300 │
│    4    │  'varun2.js'   │  0.62434299978122  │ 0.6117130000020552 │ 0.012629999779164791 │  511   │              'successfully'              │   29.36143699999957   │    false     │ false  │         null          │ 27300 │
│    5    │  'varun3.js'   │ 0.6279499999945983 │ 0.6142450000043027 │ 0.013704999990295619 │  599   │              'successfully'              │   7.404046999999991   │    false     │ false  │         null          │ 27300 │
│    6    │   'lars8.js'   │ 0.6377749999664957 │ 0.6215119999978924 │ 0.016262999968603253 │  165   │              'successfully'              │   6.025104000000283   │    false     │ false  │         null          │ 27300 │
│    7    │   'bram1.js'   │ 0.7422269999588025 │ 0.7304910000020755 │ 0.011735999956727028 │  151   │              'successfully'              │   9.222090000002936   │    false     │ false  │         null          │ 27300 │
│    8    │   'bram4.js'   │ 0.745646000301349  │ 0.7340479999984382 │ 0.011598000302910805 │  121   │              'successfully'              │   6.287419999996928   │    false     │ false  │         null          │ 27300 │
│    9    │   'bram3.js'   │ 0.7528830000082962 │ 0.7412690000055591 │ 0.011614000002737157 │  264   │              'successfully'              │  13.490373000000545   │    false     │ false  │         null          │ 27300 │
│   10    │   'tim4.js'    │ 0.755775000754511  │ 0.7409990000014659 │ 0.014776000753045082 │  310   │              'successfully'              │   6.755698000000848   │    false     │ false  │         null          │ 27300 │
│   11    │   'lars5.js'   │ 0.7743820000032429 │ 0.7626270000037039 │ 0.011754999999538995 │  119   │              'successfully'              │   7.164619999999559   │    false     │ false  │         null          │ 27300 │
│   12    │   'bram2.js'   │ 0.7936419999932696 │ 0.7802189999965776 │ 0.013422999996691942 │  194   │              'successfully'              │   9.469496000001527   │    false     │ false  │         null          │ 27300 │
│   13    │ 'hossein6.js'  │ 0.7947150000545662 │ 0.7820490000012796 │ 0.012666000053286552 │  349   │              'successfully'              │   8.262521000000561   │    false     │ false  │         null          │ 27300 │
│   14    │   'bram5.js'   │ 0.8215350000245962 │ 0.8100200000044424 │ 0.01151500002015382  │   60   │              'successfully'              │   6.515768000001117   │    false     │ false  │         null          │ 27300 │
│   15    │   'tim5.js'    │ 0.8237850000004983 │ 0.8113470000098459 │ 0.012437999990652315 │  243   │              'successfully'              │   6.669279000001552   │    false     │ false  │         null          │ 27300 │
│   16    │ 'patrick1.js'  │ 0.8542510000297625 │ 0.8425360000001092 │ 0.01171500002965331  │  192   │              'successfully'              │   7.693154999997205   │    false     │ false  │         null          │ 27300 │
│   17    │ 'hossein2.js'  │ 0.858445999903779  │ 0.8462280000021565 │ 0.012217999901622534 │  395   │              'successfully'              │   8.070105999999214   │    false     │ false  │         null          │ 27300 │
│   18    │ 'anuradha1.js' │ 0.8954579999990528 │ 0.8839569999981904 │ 0.011501000000862405 │  136   │              'successfully'              │  10.647313000001304   │    false     │ false  │         null          │ 27300 │
│   19    │   'lars2.js'   │ 0.9360090001646313 │ 0.9213410000011208 │ 0.014668000163510442 │  130   │              'successfully'              │   6.804709000000003   │    false     │ false  │         null          │ 27300 │
│   20    │   'lars4.js'   │ 0.9640070000168635 │ 0.9524800000071991 │ 0.011527000009664334 │   67   │              'successfully'              │   7.263347000000067   │    false     │ false  │         null          │ 27300 │
│   21    │ 'anuradha4.js' │ 0.9758619999556686 │ 0.9646149999971385 │ 0.011246999958530068 │   70   │              'successfully'              │   8.668409000001702   │    false     │ false  │         null          │ 27300 │
│   22    │   'lee1.js'    │ 1.1484230002533877 │ 1.1369219999905908 │ 0.011501000262796879 │   69   │              'successfully'              │   6.668050000000221   │    false     │ false  │         null          │ 27300 │
